I_ref,I_no_tumor,40um,50um,60um,70um,80um,90um,100um
0.9250260000596352,0.9163924105294712,0.9164052163034476,0.9163970025064766,0.916309009684414,0.91625910612523,0.9162276486549608,0.9162612550733332,0.9162480501550023
0.8957058584174633,0.8873459239714966,0.8873133652309056,0.8873101026784742,0.88732499769362,0.8873107511368391,0.8872935580761165,0.8872468511320355,0.8872609506596336
0.2122148828249843,0.21023420748141,0.2102204769966119,0.2102405154829521,0.2102625419396399,0.2102941319808876,0.2103083453650149,0.210315129996068,0.2103163535591695
0.0390230049511902,0.0386587896675633,0.0386980339404979,0.0387021184376716,0.0387174234158285,0.0387033130318888,0.0386786497901147,0.0386642927694156,0.03860190418630139
0.3046004084249049,0.3017574668244688,0.3017408710534416,0.301748251566111,0.3017664131765336,0.3018295540657272,0.3018307076457414,0.3019197065770923,0.3020233652526996
1.0751834646435694,1.0651484032477,1.0651121175799636,1.0650936162818037,1.065100221093617,1.0650196685438271,1.0650301936463071,1.064925176702442,1.0648411783810396
1.1218921813304954,1.1114211712290634,1.1114274742238908,1.1114011785303024,1.1113214430952616,1.1113345039128868,1.1113509687359682,1.1114045279437397,1.1114372140760393
0.2332029187609511,0.2310263547749851,0.2310390753252369,0.2310703437779487,0.231109948565179,0.2311244606610143,0.2311205570550963,0.2310924030264302,0.23108636343550235
0.0054771743027177,0.005426053929116,0.0054638397369759,0.0054775565885661,0.0054808399036861,0.0054767972839846,0.0054738590261936,0.0054469385614476,0.005417316853363858
0.186823991763811,0.1850802984415021,0.1850841178143412,0.1850669507166983,0.185079197572012,0.1850572164888523,0.1851315780071901,0.1851973922862022,0.18526598863914337
0.7603187823263591,0.753222462570717,0.7531126567769101,0.7531548748942746,0.753177862309109,0.7532390733695574,0.7531010600879042,0.7530103149487571,0.7528948763464812
1.110129539748682,1.0997683144740542,1.099798952929459,1.0996892806844054,1.0996226663054058,1.0995635885808928,1.0996487815105571,1.0997547069950937,1.0998062647673903
0.3434565386756891,0.3402509392912819,0.3402903546213351,0.3403441726439148,0.3403939695053353,0.3404114471561585,0.3403654750323666,0.3403416235755745,0.34034649976739934
0.0318253320372306,0.0315282951394026,0.0315698524741196,0.0315915351397004,0.0315978532904535,0.0315977079123088,0.0316048532627646,0.0315928962998681,0.03156707533106491
0.1524193801745322,0.1509967970636084,0.1509824415520083,0.1509915066564964,0.1509443981782699,0.150964121774291,0.1510050201598299,0.1510826149566325,0.151113512587702
0.83678629399225,0.8289762763426283,0.8289258707321673,0.8289065433257502,0.8289361399793749,0.8288922780049209,0.8288475274065091,0.8287126902354064,0.8287385761738382
