Prop distance,Correlation Length,Visibility,Epsilon
0.0,0.0,0.9992007637575879,0.09518521454853932
0.02,4.132806579540311e-08,0.992915330978273,0.8464148180093772
0.04,8.265613159080622e-08,0.9845777878058795,1.8502823275018174
0.06,1.239841973862093e-07,0.9684488262975752,3.8166232953040002
0.08,1.6531226318161243e-07,0.9575285322448798,5.166638068507597
0.1,2.0664032897701553e-07,0.9500490825422202,6.100194047374985
0.12,2.479683947724186e-07,0.9434383269233512,6.931462227183124
0.14,2.8929646056782177e-07,0.9322871823063025,8.346949569389189
0.16,3.3062452636322487e-07,0.9150951889853172,10.562760428323038
0.18,3.719525921586279e-07,0.9039818969955964,12.017374335720358
0.2,4.1328065795403106e-07,0.9046915548405791,11.923954397844962
0.22,4.546087237494342e-07,0.8987954796117688,12.702353361332166
0.24,4.959367895448372e-07,0.8869743918356906,14.278472360986758
0.26,5.372648553402404e-07,0.869840994141418,16.600577335843628
0.28,5.785929211356435e-07,0.8711742919568808,16.4182400955122
0.3,6.199209869310465e-07,0.870521076472867,16.50753670954178
0.32,6.612490527264497e-07,0.869080330974986,16.70472827120702
0.34,7.025771185218528e-07,0.8584051594245835,18.17608064063751
0.36,7.439051843172558e-07,0.8476224726693172,19.680945222533378
0.38,7.85233250112659e-07,0.8468369596319862,19.791320792105598
0.4,8.265613159080621e-07,0.8451243565899764,20.03232084647783
0.42,8.678893817034652e-07,0.8401568884532836,20.734122954191342
0.44,9.092174474988684e-07,0.8284699964459299,22.401744915957334
0.46,9.505455132942714e-07,0.8177966756607544,23.94542098247855
0.48,9.918735790896745e-07,0.8144661221387788,24.43124350807304
0.5,1.0332016448850776e-06,0.8112572292550492,24.901202376291796
0.52,1.0745297106804809e-06,0.8053960178684814,25.764425605915505
0.54,1.1158577764758838e-06,0.8006310267153568,26.470842747182587
0.56,1.157185842271287e-06,0.7884897812150462,28.28998008164021
0.58,1.19851390806669e-06,0.7888932554981762,28.229078379292073
0.6,1.239841973862093e-06,0.7831930258648029,29.09239198824048
0.62,1.2811700396574964e-06,0.7783500607544857,29.83082222482364
0.64,1.3224981054528995e-06,0.7647621423564669,31.927430805828088
0.66,1.3638261712483026e-06,0.7547256558615011,33.50011496796429
0.68,1.4051542370437057e-06,0.7536085585915377,33.676452275170504
0.7,1.446482302839109e-06,0.7512850614402614,34.04406234451219
0.72,1.4878103686345116e-06,0.7434536066612196,35.29153736649535
0.74,1.529138434429915e-06,0.7301379304201878,37.44307347672509
0.76,1.570466500225318e-06,0.723991674389987,38.4494507615533
0.78,1.6117945660207213e-06,0.7278939431404803,37.80951478690083
0.8,1.6531226318161242e-06,0.7218720186372635,38.79850185822125
0.82,1.6944506976115273e-06,0.7140819272459037,40.090188034904216
0.84,1.7357787634069304e-06,0.7104581768200723,40.69585689187603
0.86,1.7771068292023335e-06,0.703201570637484,41.91805944591918
0.88,1.8184348949977368e-06,0.7074021976399293,41.20903522155742
0.9,1.8597629607931397e-06,0.7004709535700642,42.38123567087445
0.92,1.9010910265885428e-06,0.6951272357834128,43.29290207060259
0.94,1.942419092383946e-06,0.6863537707815653,44.80500995752737
0.96,1.983747158179349e-06,0.6809325142998361,45.749056672188985
0.98,2.0250752239747523e-06,0.6761497799832018,46.58817378793613
1.0,2.066403289770155e-06,0.6700175139527175,47.672788938113044
1.02,2.1077313555655585e-06,0.6640634929232231,48.73541816234282
1.04,2.1490594213609618e-06,0.6581555543425637,49.79928228406319
1.06,2.1903874871563647e-06,0.652371235181971,50.850178610831115
1.08,2.2317155529517676e-06,0.6557169487978145,50.2411980962381
1.1,2.273043618747171e-06,0.6475651506013586,51.73046097073924
1.12,2.314371684542574e-06,0.6447373533351709,52.25145829022776
1.14,2.355699750337977e-06,0.6388776610405935,53.33836870298067
1.16,2.39702781613338e-06,0.6341524404592583,54.222132312482366
1.18,2.4383558819287832e-06,0.6382517337076261,53.455060345617184
1.2,2.479683947724186e-06,0.6292221022583193,55.151307287302316
1.22,2.521012013519589e-06,0.6190005785341731,57.10108000859093
1.24,2.5623400793149927e-06,0.6122311513297699,58.410163090137544
1.26,2.6036681451103956e-06,0.611165907589402,58.61747887854348
1.28,2.644996210905799e-06,0.6080970115087906,59.21676806655631
1.3,2.686324276701202e-06,0.599077692569352,60.995712609764674
1.32,2.727652342496605e-06,0.5897919520974307,62.85540812820382
1.34,2.7689804082920084e-06,0.5849495262171983,63.836870939605966
1.36,2.8103084740874113e-06,0.5818478707412736,64.46979242137783
1.38,2.851636539882814e-06,0.5821118007886683,64.41580387834863
1.4,2.892964605678218e-06,0.5750002311866178,65.87914720821082
1.42,2.9342926714736204e-06,0.5760185747340397,65.66849659815452
1.44,2.9756207372690233e-06,0.5712007462448389,66.66840023113674
1.46,3.0169488030644266e-06,0.5672207958090798,67.50079058370763
1.48,3.05827686885983e-06,0.5650891241126141,67.9490260641775
1.5,3.099604934655233e-06,0.5561293122520853,69.85171860114627
1.52,3.140933000450636e-06,0.5504522314938666,71.07322619220406
1.54,3.1822610662460394e-06,0.5477736913693759,71.6539344955933
1.56,3.2235891320414427e-06,0.5483969546768706,71.51855772474552
1.58,3.264917197836845e-06,0.5470779616939919,71.8052334834416
1.6,3.3062452636322484e-06,0.5398737219034385,73.38333519090573
1.62,3.347573329427652e-06,0.5345128462230443,74.57137085888597
1.64,3.3889013952230546e-06,0.5373079242586641,73.95046827908193
1.66,3.430229461018458e-06,0.538208895796061,73.75101339719363
1.68,3.471557526813861e-06,0.5374828401892361,73.91171966890937
1.7,3.512885592609264e-06,0.524944769148067,76.7216933423283
1.72,3.554213658404667e-06,0.5199805333920996,77.85284576472998
1.74,3.5955417242000703e-06,0.5149541734238421,79.00921029527778
1.76,3.6368697899954736e-06,0.5182492642709698,78.24987474418171
1.78,3.678197855790876e-06,0.5129090905417959,79.48293589426324
1.8,3.7195259215862794e-06,0.5029932734252539,81.80696220043669
1.82,3.760853987381683e-06,0.4976715067174425,83.07321967338272
1.84,3.8021820531770856e-06,0.4948204548152322,83.75717861357437
1.86,3.843510118972489e-06,0.4929037739311123,84.2192034932306
1.88,3.884838184767892e-06,0.48979004850163643,84.97362533111591
1.9,3.926166250563295e-06,0.4850466166214362,86.13217578433913
1.92,3.967494316358698e-06,0.48069194327184095,87.20579348921093
1.94,4.008822382154101e-06,0.47663150277496885,88.21566883286525
1.96,4.050150447949505e-06,0.47317722930659045,89.08157968817123
1.98,4.091478513744907e-06,0.47023498122280283,89.82413689070144
2.0,4.13280657954031e-06,0.4646075922887299,91.25739499399313
2.02,4.174134645335714e-06,0.46247988132784873,91.80383613355944
2.04,4.215462711131117e-06,0.4595657131461559,92.55634976484644
2.06,4.25679077692652e-06,0.45744618554294664,93.10667013865621
2.08,4.2981188427219236e-06,0.4480314047372692,95.58237499242885
2.1,4.339446908517326e-06,0.44115425361744687,97.42389096129546
2.12,4.380774974312729e-06,0.43931596601965156,97.92099825081445
2.14,4.422103040108133e-06,0.4395184349052765,97.8661450476401
2.16,4.463431105903535e-06,0.43525323457933596,99.02705591365489
2.18,4.504759171698938e-06,0.4274329860505694,101.18544780382724
2.2,4.546087237494342e-06,0.41926638252050813,103.48200050057466
2.22,4.587415303289745e-06,0.4186748002639195,103.65009456557486
2.24,4.628743369085148e-06,0.4209920730279143,102.99300897137434
2.26,4.670071434880552e-06,0.4186661466361849,103.65255520218025
2.28,4.711399500675954e-06,0.41434890316406403,104.88653568931417
2.3,4.752727566471357e-06,0.4094647817487451,106.29814088655658
2.32,4.79405563226676e-06,0.40877034401105916,106.50021283254395
2.34,4.835383698062163e-06,0.4054306353283974,107.4768429447213
2.36,4.8767117638575665e-06,0.40315540009588124,108.14680764767188
2.38,4.918039829652969e-06,0.3967446303442359,110.05505415039055
2.4,4.959367895448372e-06,0.3930544999983788,111.16750012170813
