Propagation distance,Correlation length,Visibility,Epsilon
0.0,0.0,0.9998456273724388,0.01591593239605474
0.02,5.5104087727204135e-08,0.9914394253729578,0.8863326612375682
0.04,1.1020817545440827e-07,0.9764776889017007,2.4539563869438914
0.06,1.653122631816124e-07,0.9623224319818406,3.9593521744858617
0.08,2.2041635090881654e-07,0.9488363864431846,5.414319743589597
0.1,2.755204386360207e-07,0.9356108555599703,6.8614063464423936
0.12,3.306245263632248e-07,0.921725798308476,8.40283489227669
0.14,3.85728614090429e-07,0.9081551851371058,9.931959406471428
0.16,4.408327018176331e-07,0.8945151053273775,11.492112297027703
0.18,4.959367895448372e-07,0.8802401569111733,13.150567336181489
0.2,5.510408772720414e-07,0.8670130049668671,14.711474469310216
0.22,6.061449649992456e-07,0.8540605153870171,16.263219236616248
0.24,6.612490527264496e-07,0.8412951688684933,17.81574297956171
0.26,7.163531404536539e-07,0.8286660681649627,19.375053384172883
0.28,7.71457228180858e-07,0.8162126401061476,20.936120577309666
0.3,8.26561315908062e-07,0.8038160286320527,22.513902690296216
0.32,8.816654036352662e-07,0.7917311364552287,24.075610203587942
0.34,9.367694913624704e-07,0.7792735551962253,25.710632242949536
0.36,9.918735790896745e-07,0.7668165720658078,27.371923305647215
0.38,1.0469776668168785e-06,0.754027473736725,29.105822094988913
0.4,1.1020817545440828e-06,0.7415615004522842,30.824451571861754
0.42,1.1571858422712869e-06,0.7294081536153962,32.52802290165456
0.44,1.2122899299984911e-06,0.7173321712763185,34.249099622457855
0.46,1.2673940177256952e-06,0.7054782203676259,35.9669463264836
0.48,1.3224981054528993e-06,0.6935095893738147,37.73094967207748
0.5,1.3776021931801035e-06,0.6820830225985786,39.44370046723173
0.52,1.4327062809073078e-06,0.6707387094040071,41.17274459909359
0.54,1.4878103686345118e-06,0.6587159602404496,43.03740760009827
0.56,1.542914456361716e-06,0.6465207833681466,44.96391069818665
0.58,1.59801854408892e-06,0.6343571754231588,46.92197061874804
0.6,1.653122631816124e-06,0.6225014422236603,48.86694163101041
0.62,1.7082267195433283e-06,0.6112979352692872,50.73925974839498
0.64,1.7633308072705323e-06,0.6005342737800456,52.57067666875582
0.66,1.8184348949977368e-06,0.5901999328873655,54.36019898814289
0.68,1.8735389827249409e-06,0.5793691895294907,56.26962593524429
0.7,1.928643070452145e-06,0.5687247677003567,58.18130661690709
0.72,1.983747158179349e-06,0.5582172742281162,60.10381567552068
0.74,2.0388512459065533e-06,0.5472546695539526,62.14855771687249
0.76,2.093955333633757e-06,0.5363867082378153,64.21648530445277
0.78,2.1490594213609618e-06,0.5254293584649199,66.3442809257961
0.8,2.2041635090881656e-06,0.5153976169779294,68.33160870213496
0.82,2.25926759681537e-06,0.5053712112988142,70.35691215061335
0.84,2.3143716845425737e-06,0.4951438554047648,72.46463316031529
0.86,2.369475772269778e-06,0.48504647758927166,74.58871778918454
0.88,2.4245798599969823e-06,0.4754494523768508,76.64893884505246
0.9,2.4796839477241865e-06,0.4658575198638433,78.75004566733121
