Prop distance,Correlation Length,Visibility,Epsilon,Mean Transmission
0.0,0.0,0.9996226888176039,0.04492647406792097,0.6062256365389329
0.02,4.132806579540311e-08,0.9977180845777689,0.27196701890103364,0.6062263439983552
0.04,8.265613159080622e-08,0.9946414184444987,0.639641696445193,0.6062267948417458
0.06,1.239841973862093e-07,0.9888520414904809,1.3345907983892151,0.6062268913396818
0.08,1.6531226318161243e-07,0.9849416553399897,1.8062943716395001,0.6062271077018833
0.1,2.0664032897701553e-07,0.9821344139235595,2.1460836038102644,0.6062271252546624
0.12,2.479683947724186e-07,0.9790588581005691,2.5194663839189175,0.606227033519643
0.14,2.8929646056782177e-07,0.9745674908726584,3.066845893862555,0.606226963500775
0.16,3.3062452636322487e-07,0.9677525367144759,3.9022462235754363,0.6062270286887822
0.18,3.719525921586279e-07,0.962565872298679,4.541997191684292,0.6062272596997484
0.2,4.1328065795403106e-07,0.9620541845802875,4.605298211319759,0.6062274972282744
0.22,4.546087237494342e-07,0.9597316641159342,4.893041683117582,0.6062273905782237
0.24,4.959367895448372e-07,0.9547958733297331,5.50686982769483,0.606227757962183
0.26,5.372648553402404e-07,0.9478303638634495,6.378539739439248,0.6062290414277398
0.28,5.785929211356435e-07,0.9483600507639764,6.312029577271786,0.6062293516753353
0.3,6.199209869310465e-07,0.947518793642134,6.417679433781035,0.6062299499816758
0.32,6.612490527264497e-07,0.9452812714606013,6.699137383055315,0.6062305765914667
0.34,7.025771185218528e-07,0.9399271344081795,7.375348013059096,0.6062307783059276
0.36,7.439051843172558e-07,0.9366725672709022,7.788274495812129,0.6062310097371627
0.38,7.85233250112659e-07,0.9358767418980506,7.8894639502695965,0.6062311463300889
0.4,8.265613159080621e-07,0.934932138228534,8.009682352641383,0.6062309411986889
0.42,8.678893817034652e-07,0.9319334341378854,8.392129695963868,0.6062316178355655
0.44,9.092174474988684e-07,0.9268634690146037,9.041548438074344,0.6062318091580317
0.46,9.505455132942714e-07,0.9215126110033071,9.730811507928527,0.6062317288843491
0.48,9.918735790896745e-07,0.9204211940011139,9.871892159526839,0.6062321958248377
0.5,1.0332016448850776e-06,0.9182412539515853,10.15418083567916,0.606232251624531
0.52,1.0745297106804809e-06,0.9159444212979232,10.452332331879065,0.6062323409411523
0.54,1.1158577764758838e-06,0.913774585099841,10.734686019295342,0.606232161134778
0.56,1.157185842271287e-06,0.9079434175141009,11.496811647100087,0.6062318378610071
0.58,1.19851390806669e-06,0.9069514442335602,11.626948187189482,0.6062311863318866
0.6,1.239841973862093e-06,0.904268172335049,11.979679972500684,0.6062313844066965
0.62,1.2811700396574964e-06,0.9025164297175758,12.210521936617843,0.6062312827197546
0.64,1.3224981054528995e-06,0.8956582304676265,13.118616426652974,0.6062313756536485
0.66,1.3638261712483026e-06,0.890913823979366,13.750901726911383,0.6062323541500766
0.68,1.4051542370437057e-06,0.889371872252227,13.957122254428878,0.6062324017394802
0.7000000000000001,1.446482302839109e-06,0.889344181186431,13.960828923006813,0.6062328472638738
0.72,1.4878103686345116e-06,0.885629684677289,14.459092722163122,0.6062331630312751
0.74,1.529138434429915e-06,0.8802805364894853,15.180313196162261,0.6062331947101272
0.76,1.570466500225318e-06,0.877609535927588,15.542083829105332,0.6062333417175179
0.78,1.6117945660207213e-06,0.8798359376764106,15.240455160663481,0.6062333788212173
0.8,1.6531226318161242e-06,0.8765069083218358,15.691749159340713,0.6062326543930926
0.8200000000000001,1.6944506976115273e-06,0.8719626355762471,16.31056013107323,0.6062327636442758
0.84,1.7357787634069304e-06,0.869390316698764,16.66227361929728,0.6062325596600889
0.86,1.7771068292023335e-06,0.8664731947437181,17.062393499511398,0.6062326473483204
0.88,1.8184348949977368e-06,0.8691404663311344,16.69649112281184,0.6062325951446244
0.9,1.8597629607931397e-06,0.8652297450319172,17.23335787179077,0.6062327414898495
0.92,1.9010910265885428e-06,0.8623731973836416,17.6270426679727,0.606232069071911
0.9400000000000001,1.942419092383946e-06,0.857584816078483,18.289904042226556,0.6062317365766904
0.96,1.983747158179349e-06,0.8555911122850948,18.566986848383237,0.606231145285962
0.98,2.0250752239747523e-06,0.852817273676649,18.953567919802133,0.6062305830203352
1.0,2.066403289770155e-06,0.8501386429526142,19.328075409838437,0.6062307160220046
1.02,2.1077313555655585e-06,0.8464650765632429,19.843611254163648,0.6062303272462825
1.04,2.1490594213609618e-06,0.8441788303998086,20.16558600839736,0.606230126116332
1.06,2.1903874871563647e-06,0.8396875671689792,20.800642878511926,0.6062302858385193
1.08,2.2317155529517676e-06,0.8407084913563719,20.655988160864148,0.6062304392628058
1.1,2.273043618747171e-06,0.8373398999465455,21.133952119054666,0.6062306492695199
1.12,2.314371684542574e-06,0.8357436300676097,21.36111613411647,0.6062313572264932
1.1400000000000001,2.355699750337977e-06,0.833408703908151,21.694180499291395,0.6062312624949777
1.16,2.39702781613338e-06,0.830057785500133,22.173804706003697,0.6062313286018944
